id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
11,Blue Valentine,2010,3,Dramas,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Marshall Johnson, Jen Jones, Maryann Plunkett, James Benatti, Barbara Troy",Derek Cianfrance,"Once crazy about each other, Cindy and Dean have now grown apart. Cindy is disenchanted while Dean languishes in the emotional emptyness of their life in rural Pennsylvania. As they muddle through their marriage, they hearken back to the golden days.",http://netflixroulette.net/api/posters/70122316.jpg,2016-04-29 02:44:35 UTC,2016-04-29 02:44:35 UTC
12,All Good Things,2010,3,Thrillers,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe, Philip Baker Hall, Michael Esper, Diane Venora, Nick Offerman, Kristen Wiig, Stephen Kunken",Andrew Jarecki,"After restless real-estate scion David Marks (Ryan Gosling) weds middle-class beauty Katie McCarthy (Kirsten Dunst) against the wishes of his disapproving father (Frank Langella), suspicions of murder fall on the unmoored heir when his wife mysteriously vanishes. Though he's not indicted in her disappearance, people with ties to the case begin turning up dead when it's reopened two decades later -- and the unhinged David is the prime suspect.",http://netflixroulette.net/api/posters/70116678.jpg,2016-04-29 02:44:35 UTC,2016-04-29 02:44:35 UTC
13,The Believer,2001,3,Dramas,"Ryan Gosling, Summer Phoenix, Glenn Fitzgerald, Theresa Russell, Billy Zane, Garret Dillahunt, Kris Eivers, Joel Garland, Joshua Harto, A.D. Miles",Henry Bean,Young New York Jew Danny struggles with the conflict between his beliefs and his heritage and eventually climbs the ranks of a neo-Nazi organization.,http://netflixroulette.net/api/posters/60022966.jpg,2016-04-29 02:44:35 UTC,2016-04-29 02:44:35 UTC
14,Murder by Numbers,2002,3,Thrillers,"Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt, Agnes Bruckner, Chris Penn, R.D. Call, Tom Verica",Barbet Schroeder,"A homicide detective and her still-green partner are profiling two cold, calculating killers whose dark secrets might explain their crimes.",http://netflixroulette.net/api/posters/60022942.jpg,2016-04-29 02:44:35 UTC,2016-04-29 02:44:35 UTC
15,Not Another Teen Movie,2001,3,Comedies,"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Ron Lester, Josh Jacobson, Lacey Chabert",Joel Gallen,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful prom queen in this outrageous parody that ruthlessly lampoons popular teen movies of all stripes.",http://netflixroulette.net/api/posters/60021785.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
16,The Iceman,2013,3,Dramas,"Michael Shannon, Winona Ryder, Chris Evans, Ray Liotta, David Schwimmer, Robert Davi, Danny A. Abeckaser, John Ventimiglia, Ryan O'Nan, McKaley Miller",Ariel Vromen,"This thriller based on a true story follows Richard Kuklinski, who killed more than 100 people for the mob -- and his own pleasure -- between 1964 and 1986. Despite his prolific violence, Kuklinski was a devoted husband and father of two daughters.",http://netflixroulette.net/api/posters/70241593.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
17,The Avengers,2012,4,Action & Adventure,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård",Joss Whedon,"An all-star lineup of superheroes -- including Iron Man, the Incredible Hulk and Captain America -- team up to save the world from certain doom. Working under the authority of S.H.I.E.L.D., can our heroes keep the planet at peace?",http://netflixroulette.net/api/posters/70217913.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
18,Fierce People,2005,3,Dramas,"Diane Lane, Anton Yelchin, Donald Sutherland, Chris Evans, Kristen Stewart, Paz de la Huerta, Blu Mankuma, Elizabeth Perkins",Griffin Dunne,"With her son's father miles away studying a South American tribe, a New York massage therapist accepts a job with a wealthy family to shield her teenage son from their pedestrian life. But tragedy teaches them that even high society can be barbaric.",http://netflixroulette.net/api/posters/70011217.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
19,Snowpiercer,2013,3,Sci-Fi & Fantasy,"Chris Evans, Kang-ho Song, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill",Joon-ho Bong,The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.,http://netflixroulette.net/api/posters/70270364.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
20,My Week with Marilyn,2011,3,Dramas,"Michelle Williams, Eddie Redmayne, Kenneth Branagh, Dominic Cooper, Julia Ormond, Emma Watson, Judi Dench, Zoë Wanamaker, Toby Jones, Derek Jacobi",Simon Curtis,"While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity. The story that ensues is based on the real-life memoirs of Colin Clark, once assistant to Sir Laurence Olivier.",http://netflixroulette.net/api/posters/70202150.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
21,The Tale of Despereaux,2008,3,Children & Family Movies,"Matthew Broderick, Dustin Hoffman, Emma Watson, Tracey Ullman, Kevin Kline, William H. Macy, Stanley Tucci, Ciarán Hinds, Robbie Coltrane, Tony Hale","Sam Fell, Robert Stevenhagen","An unusually gifted mouse named Despereaux is different from other mice in that he reads books and has disproportionately large ears for his body. But with help from a rat named Roscuro, he sets out to win the girl of his dreams -- a human princess.",http://netflixroulette.net/api/posters/70075482.jpg,2016-04-29 02:51:08 UTC,2016-04-29 02:51:08 UTC
22,Don Jon,2013,3,Comedies,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza, Glenne Headly, Brie Larson, Rob Brown, Jeremy Luke, Italia Ricci, Lindsey Broad",Joseph Gordon-Levitt,"Jon Martello's romantic exploits are legendary among his friends, but his obsession with online porn saps his enthusiasm for real sex.",http://netflixroulette.net/api/posters/70267239.jpg,2016-04-29 02:51:09 UTC,2016-04-29 02:51:09 UTC
23,Short Term 12,2013,3,Dramas,"Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek, Alex Calloway, Kevin Hernandez, Lydia Du Veaux, Lakeith Lee Stanfield, Frantz Turner, Kaitlyn Dever",Destin Cretton,"A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding.",http://netflixroulette.net/api/posters/70272893.jpg,2016-04-29 02:51:09 UTC,2016-04-29 02:51:09 UTC
24,Greenberg,2010,2,Comedies,"Ben Stiller, Greta Gerwig, Rhys Ifans, Jennifer Jason Leigh, Brie Larson, Juno Temple, Chris Messina, Susan Traylor, Mark Duplass",Noah Baumbach,"At a crossroads in his life, New Yorker Roger Greenberg takes time to figure things out and travels to Los Angeles, where he house-sits for his brother and forges an unlikely bond with his sibling's assistant, Florence Marr.",http://netflixroulette.net/api/posters/70118401.jpg,2016-04-29 02:51:09 UTC,2016-04-29 02:51:09 UTC
25,Rampart,2011,2,Dramas,"Woody Harrelson, Ned Beatty, Francis Capra, Ben Foster, Anne Heche, Ice Cube, Brie Larson, Audra McDonald, Cynthia Nixon, Sigourney Weaver",Oren Moverman,"Dave Brown is a dirty cop with a mile-wide mean streak. As he roams the streets meting out ""justice,"" the LAPD sinks into a corruption scandal. The countdown to Brown's judgment is on in this fact-based film co-written by crime novelist James Ellroy.",http://netflixroulette.net/api/posters/70209638.jpg,2016-04-29 02:51:09 UTC,2016-04-29 02:51:09 UTC
26,United States of Tara,2009,4,TV Shows,"Toni Collette, John Corbett, Rosemarie DeWitt, Keir Gilchrist, Brie Larson, Patton Oswalt, Eddie Izzard, Michael J. Willett, Nathan Corddry","","Artist and mother Tara Gregson has her hands full juggling her career, her kids and a major case of dissociative identity disorder. This series follows Tara's struggle to find her real self while keeping her six others straight.",http://netflixroulette.net/api/posters/70142349.jpg,2016-04-29 02:51:09 UTC,2016-04-29 02:51:09 UTC
27,Bewitched,2005,2,Romantic Movies,"Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine, Jason Schwartzman, Kristin Chenoweth, Heather Burns, Jim Turner, Stephen Colbert, David Alan Grier, Michael Badalucco, Steve Carell, James Lipton, Amy Sedaris, Mo Rocca, Nick Lachey, Conan O'Bri",Nora Ephron,"Isabel Bigelow seems to be the perfect Samantha to star in a film remake of the 1960s sitcom ""Bewitched"" -- but no one knows she really is a witch!",http://netflixroulette.net/api/posters/70021646.jpg,2016-04-29 02:53:33 UTC,2016-04-29 02:53:33 UTC
28,A Fierce Green Fire,2012,3,Documentaries,"Robert Redford, Ashley Judd, Van Jones, Isabel Allende, Meryl Streep",Mark Kitchell,"This documentary profiles the evolution of environmental movements, from early efforts at conservation to current concerns over global climate change.",http://netflixroulette.net/api/posters/70228183.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
29,The House of the Spirits,1993,3,Dramas,"Meryl Streep, Glenn Close, Jeremy Irons, Winona Ryder, Antonio Banderas, Vanessa Redgrave, Maria Conchita Alonso, Armin Mueller-Stahl",Bille August,"Esteban vows to marry Rosa, a rich man's daughter. But when Rosa dies before he can save enough money to do so, he instead marries her younger sister. Years later, when their daughter falls for a revolutionary, the family is thrown into turmoil.",http://netflixroulette.net/api/posters/60020345.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
30,The Hours,2002,3,Oscar-winning Movies,"Meryl Streep, Julianne Moore, Nicole Kidman, Ed Harris, Toni Collette, Claire Danes, Jeff Daniels, Stephen Dillane, Allison Janney, John C. Reilly",Stephen Daldry,"This gripping drama follows the parallel lives of three 20th-century women: incomparable writer Virginia Woolf, an unsatisfied 1950s housewife and a modern-day book editor who's losing her former lover to AIDS.",http://netflixroulette.net/api/posters/60025007.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
672,A River Runs Through It,1992,3,Dramas,"Craig Sheffer, Brad Pitt, Robert Redford, Tom Skerritt, Emily Lloyd, Brenda Blethyn, Stephen Shellen",Robert Redford,"Director Robert Redford's Oscar-winning, nostalgic meditation about the bonds that unite and divide families is set in Montana in the early 1900s.",http://netflixroulette.net/api/posters/911839.jpg,2016-04-29 03:23:15 UTC,2016-04-29 03:23:15 UTC
31,Music of the Heart,1999,3,Dramas,"Meryl Streep, Aidan Quinn, Gloria Estefan, Angela Bassett, Jane Leeves, Cloris Leachman, Kieran Culkin, Charlie Hofheimer, Jay O. Sanders, Henry Dinhofer",Wes Craven,In director Wes Craven's inspiring Oscar-nominated drama -- which is based on a true story -- a violinist and single mother struggles to convince the administration at an East Harlem high school to let her establish a music program.,http://netflixroulette.net/api/posters/27449326.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
32,The Iron Lady,2011,3,Oscar-winning Movies,"Meryl Streep, Jim Broadbent, Alexandra Roach, Harry Lloyd, Olivia Colman, Iain Glen, Victoria Bewick, Nicholas Farrell, John Sessions, Anthony Head",Phyllida Lloyd,"Meryl Streep provides a subtle and nuanced portrait of Margaret Thatcher, the first female prime minister of Britain, whose political career and determination changed the rules that had limited women's opportunities for leadership.",http://netflixroulette.net/api/posters/70189282.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
33,DisneyNature: Wings of Life,2011,4,Documentaries,Meryl Streep,Louis Schwartzberg,"Full of intrigue, drama and beauty, this mesmerizing documentary looks at bats, butterflies, hummingbirds and bees -- increasingly endangered little creatures that a third of the world's food supply depends on. Meryl Streep narrates.",http://netflixroulette.net/api/posters/70273605.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
34,Evening,2007,3,Dramas,"Claire Danes, Toni Collette, Vanessa Redgrave, Patrick Wilson, Hugh Dancy, Natasha Richardson, Mamie Gummer, Eileen Atkins, Meryl Streep, Glenn Close",Lajos Koltai,"With her daughters by her bedside, a terminally ill matriarch recounts a passionate and all-consuming romance that took place 50 years in the past yet steered the course and defined the rest of her life.",http://netflixroulette.net/api/posters/70059984.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
35,Manhattan,1979,3,Classic Movies,"Woody Allen, Diane Keaton, Michael Murphy, Meryl Streep, Mariel Hemingway, Anne Byrne",Woody Allen,"In this insightful slice of life, television writer Isaac Davis -- who's in the throes of a midlife crisis -- finds himself torn between an adoring high schooler and his best friend's high-maintenance mistress.",http://netflixroulette.net/api/posters/60001266.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
36,Theater of War,2008,3,Documentaries,"Meryl Streep, Kevin Kline, Tony Kushner, George C. Wolfe, Bertolt Brecht, Michael Izquierdo, Jeremy Lydic, Silvestre Rasuk",John W. Walter,"Go behind the scenes of the Public Theater's 2006 production of Bertolt Brecht's Mother Courage and Her Children, starring the legendary Meryl Streep and translated by Pulitzer Prize winner Tony Kushner. In addition to offering a rare window into Streep's process, the documentary also examines how Brecht's own tumultuous life experiences informed his remarkable play. Other interviewees include Streep's co-star Kevin Kline.",http://netflixroulette.net/api/posters/70111113.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
37,Scholastic: One-of-a-Kind Critters,2011,3,TV Shows,"Meryl Streep, Sarah Jessica Parker","","The stars of these stories may be little, but they have big personalities and huge adventures!  Includes: Chrysanthemum; Duck on a Bike; Harry the Dirty Dog; Scaredy Squirrel; and The Dot.",http://netflixroulette.net/api/posters/70282142.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
38,Julia,1977,3,Classic Movies,"Jane Fonda, Vanessa Redgrave, Jason Robards, Maximilian Schell, Hal Holbrook, Rosemary Murphy, Meryl Streep, Dora Doll, Elisabeth Mortensen, John Glover",Fred Zinnemann,A case of writer's block and a chance to reconnect with lifelong friend Julia prompt American dramatist Lillian Hellman to journey to 1930s Europe.,http://netflixroulette.net/api/posters/60010531.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
39,Makers: Women Who Make America,2013,3,TV Shows,"Meryl Streep, Hillary Rodham Clinton, Ellen DeGeneres, Madeleine Albright, Christiane Amanpour, Geraldine Ferraro, Carol Burnett, Condoleezza Rice, Phyllis Schlafly","","Interviews with notables from politics, business, entertainment, sports and more illuminate the history of the women's rights movement in America.",http://netflixroulette.net/api/posters/80003148.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
40,The Manchurian Candidate,2004,3,Thrillers,"Denzel Washington, Meryl Streep, Liev Schreiber, Kimberly Elise, Jon Voight, Vera Farmiga, Jeffrey Wright, Simon McBurney, Bruno Ganz, David Keeley",Jonathan Demme,"Two U.S. soldiers in the first Gulf War are programmed to rebel once they return home. Several years later, one becomes a vice presidential candidate.",http://netflixroulette.net/api/posters/60037627.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
41,Sophie's Choice,1982,3,Dramas,"Meryl Streep, Kevin Kline, Peter MacNicol, Rita Karin, Stephen D. Newman, Greta Turken, Josh Mostel, Marcell Rosenblatt, Moishe Rosenfeld, Robin Bartlett",Alan J. Pakula,"Stingo shares a Brooklyn boarding house with Polish émigré Sophie and her mercurial lover, a union unsettled by violent behavior.",http://netflixroulette.net/api/posters/983454.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
42,Heartburn,1986,3,Romantic Movies,"Meryl Streep, Jack Nicholson, Jeff Daniels, Maureen Stapleton, Stockard Channing, Richard Masur, Catherine O'Hara, Steven Hill, Milos Forman, Mercedes Ruehl, Christian Clemenson, Mamie Gummer, Karen Akers, Anna Maria Horsford, Ron McLarty, Kenneth Welsh, J",Mike Nichols,"The marriage between a New York writer and a political columnist ends when, among other things, his infidelity becomes a problem they cannot overcome.",http://netflixroulette.net/api/posters/70000277.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
43,Kramer vs. Kramer,1979,3,Dramas,"Dustin Hoffman, Meryl Streep, Justin Henry, Jane Alexander, Howard Duff, George Coe, JoBeth Williams, Joe Seneca, Bill Moor, Howland Chamberlain",Robert Benton,"Ted is a career-driven yuppie whose wife leaves him and their 6-year-old son. As he adjusts to life as a full-time dad, she comes to reclaim the boy.",http://netflixroulette.net/api/posters/60010559.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
44,Girl Rising,2013,3,Documentaries,"Anne Hathaway, Cate Blanchett, Selena Gomez, Liam Neeson, Priyanka Chopra, Chloë Grace Moretz, Freida Pinto, Salma Hayek, Meryl Streep, Alicia Keys",Richard Robbins,Nine filmmakers each profile a young girl from a different part of the world to weave a global tapestry of youth in the 21st century.,http://netflixroulette.net/api/posters/70271594.jpg,2016-04-29 02:53:34 UTC,2016-04-29 02:53:34 UTC
45,Sense and Sensibility,1995,3,Dramas,"Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant, James Fleet, Tom Wilkinson, Harriet Walter, Gemma Jones, Emilie François, Elizabeth Spriggs",Ang Lee,"Facing poverty after their father's death, three sisters are obliged to rely on the generosity of others in this adaptation of the Jane Austen novel.",http://netflixroulette.net/api/posters/948002.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
46,Heavenly Creatures,1994,3,Dramas,"Melanie Lynskey, Kate Winslet, Sarah Peirse, Diana Kent, Clive Merrison, Simon O'Connor, Jed Brophy, Peter Elliott, Gilbert Goldie, Geoffrey Heath",Peter Jackson,"Set in 1950s New Zealand, this chilling true-life drama follows two inseparable teenage girls who retreat to a bizarre imaginary world, until their obsessive friendship invites parental opposition that ultimately begets blood.",http://netflixroulette.net/api/posters/60011627.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
47,Holy Smoke,2000,3,Dramas,"Kate Winslet, Harvey Keitel, Pam Grier, Sophie Lee, Julie Hamilton, Tim Robertson, Daniel Wyllie, Paul Goddard",Jane Campion,"Returning to Australia from India after living in a cult, Ruth is enraged to learn she was tricked into coming back by PJ Waters, a hotshot deprogramming guru. Waters believes he can return Ruth to normalcy, but Ruth quickly turns the tables on him.",http://netflixroulette.net/api/posters/60000395.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
48,Movie 43,2013,3,Comedies,"Kate Winslet, Hugh Jackman, Liev Schreiber, Naomi Watts, Jeremy Allen White, Anna Faris, Chris Pratt, Kieran Culkin, Emma Stone, Jason Sudeikis","Peter Farrelly, Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Patrik Forsberg, James Gunn, Brett Ratner","An eye-popping cast stars in this sketch-comedy collage, the new millennium's homage to classic anthology films like The Kentucky Fried Movie. Stars from Kate Winslet to Justin Long to Richard Gere provide the laughs in more than a dozen segments.",http://netflixroulette.net/api/posters/70222860.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
49,Christmas Carol: The Movie,2001,3,Children & Family Movies,"Simon Callow, Rhys Ifans, Kate Winslet, Nicolas Cage, Jane Horrocks, Michael Gambon, Juliet Stevenson, Robert Llewellyn, Iain Jones, Colin McFarlane",Jimmy T. Murakami,"Nicolas Cage, Kate Winslet and Simon Callow provide voices for this animated version of the classic Charles Dickens tale about the miserable Ebenezer Scrooge, who learns the true meaning of Christmas from three ghosts who confront him in the night. The film uses live-action sequences to bookend the story, and a mouse in the animated portion helps younger viewers follow the story. Winslet sings the film's main theme.",http://netflixroulette.net/api/posters/70131173.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
50,A Mother's Courage: Talking Back to Autism,2009,3,Documentaries,"Margrét Dagmar Ericsdóttir, David G. Amaral, Simon Baron-Cohen, David Crowe, Taylor Crowe, Geraldine Dawson, Temple Grandin, Lisa Helt, Portia Iversen, Kate Winslet",Fridrik Thor Fridriksson,"Margrét Dagmar Ericsdóttir embarks on a quest to find answers about autism, which renders her 11-year-old son, Keli, unable to communicate. Across the United States and Europe, Ericsdóttir encounters autism experts exploring promising new methods.",http://netflixroulette.net/api/posters/70125536.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
51,Labor Day,2013,3,Romantic Movies,"Kate Winslet, Josh Brolin, Gattlin Griffith, Tobey Maguire, Tom Lipinski, Maika Monroe, Clark Gregg, James Van Der Beek, J.K. Simmons, Brooke Smith, Brighid Fleming, Alexie Gilmore, Lucas Hedges, Micah Fowler",Jason Reitman,"On a fateful Labor Day weekend, giving a lift to a bloodied man turns into a life-changing event for a divorced single mother and her 13-year-old son.",http://netflixroulette.net/api/posters/70284279.jpg,2016-04-29 03:04:32 UTC,2016-04-29 03:04:32 UTC
52,Electrick Children,2012,3,Dramas,"Julia Garner, Rory Culkin, Liam Aiken, Bill Sage, Cynthia Watros, Billy Zane, John Patrick Amedori, Rachel Pirard, Cassidy Gard, Paola Baldion",Rebecca Thomas,Idealistic teenager Rachel astonishes her fundamentalist Mormon family when she announces that she's been impregnated by listening to a rock song. Rachel then runs off to Las Vegas to escape an arranged marriage and to find the father of her baby.,http://netflixroulette.net/api/posters/70232189.jpg,2016-04-29 03:04:33 UTC,2016-04-29 03:04:33 UTC
53,The Hillside Stranglers,1989,3,Dramas,"Richard Crenna, Dennis Farina, Billy Zane, Tony Plana, James Tolkan, Karen Austin, Matthew Faison, Robert Harper",Steve Gethers,"As serial-killer cousins Angelo (Dennis Farina) and Kenneth (Billy Zane) stalk, kidnap, torture, rape and murder young women across northern Los Angeles, lead LAPD detective Sgt. Grogan (Richard Crenna) concentrates on apprehending them and convincing the D.A. that this case can be won. Based on a true story from the late 1970s, this made-for-television drama emphasizes the stark differences in two killers' personalities.",http://netflixroulette.net/api/posters/70146904.jpg,2016-04-29 03:04:33 UTC,2016-04-29 03:04:33 UTC
54,Sniper: Reloaded,2011,3,Action & Adventure,"Chad Michael Collins, Richard Sammel, Annabel Wright, Justin Strydom, Billy Zane, Hlomla Dandala, Conrad Kemp, Kayla Privett, Clyde Berning, Rob Fruithof",Claudio Fäh,"Following in the footsteps of his father, renowned sniper Tom Beckett, U.S. Marine Sgt. Brandon Beckett takes on the toughest assignments -- including a deadly mission to rescue a Belgian plantation owner from hostilities in the Congo.",http://netflixroulette.net/api/posters/70170562.jpg,2016-04-29 03:04:33 UTC,2016-04-29 03:04:33 UTC
